,tweets,creation_date,user,retweets,favorites,favorited,retweeted,language
45,"@CarralesMaria17 ¡El animal protector de septiembre es el perro, María! 💛🐕",2020-09-27 17:10:35-05:00,CarralesMaria17,0,,False,,es
46,"@alekzgdl Hola Alekz. Compartenos la información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago (16 dígitos) y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-27 16:53:07-05:00,alekzgdl,0,,False,,es
47,"@EduardoRiveri Hola Eduardo. Compártenos la información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-27 16:37:55-05:00,EduardoRiveri,0,,False,,es
48,@arturoport Hola Arturo. ¿Cómo te podemos ayudar? Compártenos un poco más de tu experiencia en mensaje directo.  Quedamos atentos a tus comentarios. Saludos.,2020-09-27 16:31:05-05:00,arturoport,0,,False,,es
49,"@IQAlfo81 Hola  Aldo G Compártenos la información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-27 16:25:15-05:00,IQAlfo81,0,,False,,es
50,@ElizabeethGomez Hola Elizabeth. ¿Cómo te podemos ayudar? Compártenos un poco más de tu experiencia en mensaje directo.  Quedamos atentos a tus comentarios. Saludos.,2020-09-27 16:04:07-05:00,ElizabeethGomez,0,,False,,es
51,"@MarOrtega1988 Hola MarOrtega1988. Compártenos la información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-27 16:02:55-05:00,MarOrtega1988,0,,False,,es
52,"¡TODOS A LA MESA! Cambia por completo la imagen de tu cocina y conviértela en el corazón de tu casa. Ahora, todos van a querer ayudar a preparar la cena siempre. Encuéntralos en https://t.co/vrb6js8pvP.💛 #EstamosTotalmenteContigo https://t.co/Xah7qFfFFV",2020-09-27 16:00:00-05:00,,1,,False,,es
53,"@LilithBurgosC ¡Hola, Lilith! El águila es tu animal protector. 💛🦅",2020-09-27 15:58:34-05:00,LilithBurgosC,0,,False,,es
54,"@albubu2501 ¡Sí, Alberto! Los puedes encontrar en El Palacio de Hierro Polanco. 😉😊",2020-09-27 15:49:35-05:00,albubu2501,0,,False,,es
